filename,total_loss,loss_cls,loss_bbox,loss_offset,loss_dir,loss_attr
n008-2018-08-30-15-16-55-0400__CAM_BACK_LEFT__1535657124647405.jpg,224.54411611321848,0.1288267970085144,0.0,223.5402374267578,0.0011232382385060191,0.08363156020641327
n008-2018-08-30-15-16-55-0400__CAM_BACK_LEFT__1535657127147405.jpg,223.8366237572627,0.13648296892642975,0.0,222.91078186035156,0.001593189430423081,0.10516495257616043
n008-2018-08-30-15-16-55-0400__CAM_BACK_LEFT__1535657125147405.jpg,223.56763113138732,0.13332366943359375,0.0,222.64892578125,0.001167445327155292,0.08671176433563232
n008-2018-08-30-15-16-55-0400__CAM_BACK_LEFT__1535657126647405.jpg,222.08027747704182,0.12354061007499695,0.0,221.14964294433594,0.0011798084015026689,0.08963888138532639
n008-2018-08-27-11-48-51-0400__CAM_BACK_LEFT__1535385096397405.jpg,221.62538744335325,0.07144930213689804,0.0,220.9618682861328,9.204404341289774e-05,0.00035917674540542066
n008-2018-08-30-15-16-55-0400__CAM_BACK_LEFT__1535657121647405.jpg,221.27982576051727,0.1952621042728424,0.0,219.80862426757812,0.006313813850283623,0.4120592772960663
n008-2018-08-30-15-16-55-0400__CAM_BACK_LEFT__1535657123147405.jpg,221.1236965393182,0.1294609010219574,0.0,220.1177978515625,0.0011307800887152553,0.12030331045389175
n008-2018-08-30-15-16-55-0400__CAM_BACK_LEFT__1535657126147405.jpg,220.07843238126952,0.12388542294502258,0.0,219.14585876464844,0.0013016742886975408,0.07154260575771332
n008-2018-08-30-15-16-55-0400__CAM_BACK_LEFT__1535657126147405.jpg,220.07843238126952,0.12388542294502258,0.0,219.14585876464844,0.0013016742886975408,0.07154260575771332
n015-2018-10-02-10-50-40+0800__CAM_FRONT_RIGHT__1538448763520339.jpg,202.5311879661749,0.09662242978811264,0.0,200.12803649902344,0.00036077917320653796,0.605586588382721
n008-2018-08-27-11-48-51-0400__CAM_BACK_LEFT__1535385105447405.jpg,198.2686072657525,0.018539495766162872,0.0,197.4744873046875,7.595928036607802e-05,0.054649073630571365
n015-2018-10-02-10-50-40+0800__CAM_FRONT_RIGHT__1538448763020339.jpg,197.92087832349353,0.05575552582740784,0.0,195.85256958007812,0.002171071944758296,0.2068198025226593
n015-2018-10-02-10-50-40+0800__CAM_FRONT_RIGHT__1538448761520339.jpg,196.43584861057752,0.08740567415952682,0.0,194.560546875,0.0002043266867985949,0.01719064451754093
n008-2018-08-27-11-48-51-0400__CAM_BACK_LEFT__1535385095447405.jpg,195.90325941985066,0.0590997152030468,0.0,194.85397338867188,0.00020889505685772747,0.00023767389939166605
n008-2018-08-27-11-48-51-0400__CAM_FRONT_LEFT__1535385103904799.jpg,194.92556994128972,0.05991242080926895,0.0,193.79266357421875,0.026339340955018997,0.46243801712989807
n008-2018-08-27-11-48-51-0400__CAM_BACK_LEFT__1535385093647405.jpg,194.70873757612117,0.023305857554078102,0.0,194.01519775390625,1.1457220352895092e-05,0.0009534895652905107
n008-2018-08-27-11-48-51-0400__CAM_BACK_LEFT__1535385093647405.jpg,194.70873757612117,0.023305857554078102,0.0,194.01519775390625,1.1457220352895092e-05,0.0009534895652905107
n008-2018-08-27-11-48-51-0400__CAM_FRONT_LEFT__1535385104404799.jpg,194.54656045105367,0.007979176007211208,0.0,193.84906005859375,0.00013470523117575794,0.007324227597564459
n008-2018-08-27-11-48-51-0400__CAM_BACK_LEFT__1535385096397405.jpg,193.04249475416145,0.10470861196517944,0.0,192.34210205078125,0.0004664777952712029,0.00028672057669609785
n015-2018-10-02-10-50-40+0800__CAM_FRONT_RIGHT__1538448762020339.jpg,188.62379323650384,0.037643980234861374,0.0,186.7294464111328,0.0008891835459508002,0.009741543792188168
n008-2018-08-27-11-48-51-0400__CAM_BACK_LEFT__1535385094947405.jpg,188.39463932841318,0.04314069449901581,0.0,187.2933807373047,0.00029020465444773436,0.0005166774499230087
